received_timestamp,source_timestamp,symbol,price,volume,td
2026-09-08T00:30:15.896+00:00,1788827413884,USOIL,92.20800,2.00000,0
2026-09-08T00:30:17.744+00:00,1788827415755,USOIL,92.21800,2.00000,0
2026-09-08T00:30:25.143+00:00,1788827423151,USOIL,92.20200,7.00000,0
2026-09-08T00:30:25.442+00:00,1788827423426,USOIL,92.20900,1.00000,0
2026-09-08T00:30:26.442+00:00,1788827424439,USOIL,92.20800,1.00000,0
2026-09-08T00:30:27.043+00:00,1788827425064,USOIL,92.20900,2.00000,0
2026-09-08T00:30:32.443+00:00,1788827430458,USOIL,92.21400,2.00000,0
2026-09-08T00:30:34.092+00:00,1788827432095,USOIL,92.21700,1.00000,0
2026-09-08T00:30:35.345+00:00,1788827433337,USOIL,92.21200,1.00000,0
2026-09-08T00:30:37.292+00:00,1788827435279,USOIL,92.20900,1.00000,0
2026-09-08T00:30:39.191+00:00,1788827437193,USOIL,92.18800,5.00000,0
2026-09-08T00:30:39.842+00:00,1788827437867,USOIL,92.18400,2.00000,0
2026-09-08T00:30:40.492+00:00,1788827438510,USOIL,92.18200,3.00000,0
2026-09-08T00:30:40.742+00:00,1788827438767,USOIL,92.18300,1.00000,0
2026-09-08T00:30:41.492+00:00,1788827439487,USOIL,92.18800,1.00000,0
2026-09-08T00:30:44.042+00:00,1788827442038,USOIL,92.19400,1.00000,0
2026-09-08T00:30:44.293+00:00,1788827442317,USOIL,92.18900,1.00000,0
2026-09-08T00:30:44.996+00:00,1788827442985,USOIL,92.17800,1.00000,0
2026-09-08T00:30:46.641+00:00,1788827444627,USOIL,92.16700,4.00000,0
2026-09-08T00:30:47.542+00:00,1788827445573,USOIL,92.16400,1.00000,0
2026-09-08T00:30:47.842+00:00,1788827445869,USOIL,92.14700,3.00000,0
2026-09-08T00:30:48.242+00:00,1788827446238,USOIL,92.14400,3.00000,0
2026-09-08T00:30:48.492+00:00,1788827446495,USOIL,92.14200,1.00000,0
2026-09-08T00:30:48.843+00:00,1788827446864,USOIL,92.14400,2.00000,0
2026-09-08T00:30:50.142+00:00,1788827448152,USOIL,92.12200,3.00000,0
2026-09-08T00:30:50.442+00:00,1788827448453,USOIL,92.12400,3.00000,0
2026-09-08T00:30:51.392+00:00,1788827449405,USOIL,92.12900,1.00000,0
2026-09-08T00:30:52.342+00:00,1788827450364,USOIL,92.13200,2.00000,0
2026-09-08T00:30:52.693+00:00,1788827450708,USOIL,92.13300,2.00000,0
2026-09-08T00:30:53.294+00:00,1788827451319,USOIL,92.14900,3.00000,0
2026-09-08T00:30:53.792+00:00,1788827451794,USOIL,92.13700,2.00000,0
2026-09-08T00:30:53.993+00:00,1788827451975,USOIL,92.14200,1.00000,0
2026-09-08T00:30:54.592+00:00,1788827452621,USOIL,92.14700,1.00000,0
2026-09-08T00:30:54.892+00:00,1788827452900,USOIL,92.15300,1.00000,0
2026-09-08T00:30:56.191+00:00,1788827454186,USOIL,92.15400,4.00000,0
2026-09-08T00:30:56.542+00:00,1788827454552,USOIL,92.15900,1.00000,0
2026-09-08T00:30:59.043+00:00,1788827457046,USOIL,92.14700,2.00000,0
2026-09-08T00:30:59.391+00:00,1788827457415,USOIL,92.13700,1.00000,0
2026-09-08T00:30:59.691+00:00,1788827457690,USOIL,92.14800,1.00000,0
2026-09-08T00:31:00.042+00:00,1788827458057,USOIL,92.14200,1.00000,0
2026-09-08T00:31:00.342+00:00,1788827458360,USOIL,92.13800,2.00000,0
2026-09-08T00:31:01.942+00:00,1788827459972,USOIL,92.14200,1.00000,0
2026-09-08T00:31:06.142+00:00,1788827464141,USOIL,92.14200,0.00000,0
2026-09-08T00:31:06.144+00:00,1788827464142,USOIL,92.14400,1.00000,0
2026-09-08T00:31:06.393+00:00,1788827464418,USOIL,92.13300,2.00000,0
2026-09-08T00:31:06.742+00:00,1788827464744,USOIL,92.12200,2.00000,0
2026-09-08T00:31:07.092+00:00,1788827465114,USOIL,92.11200,3.00000,0
2026-09-08T00:31:11.243+00:00,1788827469272,USOIL,92.11800,1.00000,0
2026-09-08T00:31:11.894+00:00,1788827469897,USOIL,92.12300,1.00000,0
2026-09-08T00:31:13.191+00:00,1788827471191,USOIL,92.12200,2.00000,0
2026-09-08T00:31:15.405+00:00,1788827473417,USOIL,92.12800,2.00000,0
2026-09-08T00:31:15.693+00:00,1788827473716,USOIL,92.12700,1.00000,0
2026-09-08T00:31:16.041+00:00,1788827474065,USOIL,92.12300,1.00000,0
2026-09-08T00:31:17.342+00:00,1788827475365,USOIL,92.12700,1.00000,0
2026-09-08T00:36:58.243+00:00,1788827816237,USOIL,92.30700,2.00000,0
2026-09-08T00:36:58.541+00:00,1788827816561,USOIL,92.31200,1.00000,0
2026-09-08T00:37:03.041+00:00,1788827821038,USOIL,92.31200,0.00000,0
2026-09-08T00:37:03.043+00:00,1788827821038,USOIL,92.31700,1.00000,0
2026-09-08T00:37:03.441+00:00,1788827821428,USOIL,92.31900,2.00000,0
2026-09-08T00:37:03.692+00:00,1788827821714,USOIL,92.31800,2.00000,0
2026-09-08T00:37:04.040+00:00,1788827822069,USOIL,92.32700,1.00000,0
2026-09-08T00:37:04.641+00:00,1788827822658,USOIL,92.31900,1.00000,0
2026-09-08T00:37:09.590+00:00,1788827827585,USOIL,92.32200,1.00000,0
2026-09-08T00:37:14.602+00:00,1788827832575,USOIL,92.32300,2.00000,0
2026-09-08T00:37:14.945+00:00,1788827832959,USOIL,92.31700,1.00000,0
2026-09-08T00:37:17.141+00:00,1788827835155,USOIL,92.31800,2.00000,0
2026-09-08T00:37:17.841+00:00,1788827835846,USOIL,92.31200,1.00000,0
2026-09-08T00:37:27.740+00:00,1788827845757,USOIL,92.31400,1.00000,0
2026-09-08T00:37:28.090+00:00,1788827846083,USOIL,92.31700,1.00000,0
2026-09-08T00:37:34.449+00:00,1788827852429,USOIL,92.31300,1.00000,0
2026-09-08T00:37:41.490+00:00,1788827859485,USOIL,92.31300,2.00000,0
2026-09-08T00:37:41.847+00:00,1788827859832,USOIL,92.30800,2.00000,0
2026-09-08T00:37:43.090+00:00,1788827861120,USOIL,92.31800,1.00000,0
2026-09-08T00:37:44.040+00:00,1788827862069,USOIL,92.31300,1.00000,0
2026-09-08T00:38:00.691+00:00,1788827878702,USOIL,92.31400,2.00000,0
2026-09-08T00:38:02.690+00:00,1788827880675,USOIL,92.31400,0.00000,0
2026-09-08T00:38:02.692+00:00,1788827880675,USOIL,92.30900,1.00000,0
2026-09-08T00:38:05.491+00:00,1788827883511,USOIL,92.30700,2.00000,0
2026-09-08T00:38:10.340+00:00,1788827888327,USOIL,92.29900,2.00000,0
2026-09-08T00:38:11.290+00:00,1788827889321,USOIL,92.30400,1.00000,0
2026-09-08T00:38:14.494+00:00,1788827892487,USOIL,92.30700,1.00000,0
2026-09-08T00:38:19.240+00:00,1788827897268,USOIL,92.30900,2.00000,0
2026-09-08T00:38:19.640+00:00,1788827897634,USOIL,92.30400,1.00000,0
2026-09-08T00:38:23.741+00:00,1788827901749,USOIL,92.30300,4.00000,0
2026-09-08T00:38:27.893+00:00,1788827905923,USOIL,92.30700,1.00000,0
2026-09-08T00:38:28.239+00:00,1788827906230,USOIL,92.30300,1.00000,0
2026-09-08T00:38:28.890+00:00,1788827906915,USOIL,92.30700,1.00000,0
2026-09-08T00:38:29.190+00:00,1788827907213,USOIL,92.30200,1.00000,0
2026-09-08T00:38:38.190+00:00,1788827916185,USOIL,92.30700,1.00000,0
2026-09-08T00:38:39.740+00:00,1788827917753,USOIL,92.30400,1.00000,0
2026-09-08T00:38:40.041+00:00,1788827918071,USOIL,92.30800,1.00000,0
2026-09-08T00:38:49.343+00:00,1788827927371,USOIL,92.31200,2.00000,0
2026-09-08T00:38:51.291+00:00,1788827929283,USOIL,92.31700,1.00000,0
